# STATION: QBHA3,,,,,,,,,,,,
# STATION NAME: BLACK HILLS,,,,,,,,,,,,
# LATITUDE: 33.082030,,,,,,,,,,,,
# LONGITUDE: -109.951190,,,,,,,,,,,,
# ELEVATION [ft]: 3352,,,,,,,,,,,,
# STATE: AZ,,,,,,,,,,,,
Station_ID,Date_Time,snow_interval_set_1,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,solar_radiation_set_1,precip_accum_set_1,fuel_temp_set_1,fuel_moisture_set_1,dew_point_temperature_set_1d
,,Inches,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,W/m**2,Inches,Fahrenheit,gm,Fahrenheit
QBHA3,03/01/2004 11:30 MST,,55,31,5.99,150,10,773,0.59,64.99,,24.73
QBHA3,03/01/2004 12:30 MST,,55.99,25,4.99,160,11.01,801,0.59,66.99,,20.48
QBHA3,03/01/2004 13:30 MST,,60.01,22,4,140,12.01,767,0.59,70,,20.9
QBHA3,03/01/2004 14:30 MST,,60.01,20,3,200,13,696,0.59,72,,18.68
QBHA3,03/01/2004 15:30 MST,,60.01,20,2.01,130,10,590,0.59,66.99,,18.68
QBHA3,03/01/2004 16:30 MST,,59,22,2.01,300,13,190,0.59,59,,20.05
QBHA3,03/01/2004 17:30 MST,,57,24,4,310,13,40,0.59,55.99,,20.39
QBHA3,03/01/2004 18:30 MST,,55,27,4,310,7,0,0.59,52,,21.44
QBHA3,03/01/2004 19:30 MST,,51.01,31,0,270,7,0,0.59,48,,21.22
QBHA3,03/01/2004 20:30 MST,,50,33,0,270,4.99,0,0.59,48,,21.81
""
QBHA3,03/01/2004 22:30 MST,,46,42,0,140,4,0,0.59,43,,23.99
QBHA3,03/01/2004 23:30 MST,,46.99,44,0,170,3,0,0.59,43,,26.01
QBHA3,03/02/2004 00:30 MST,,46.99,45,3,140,4,0,0.59,43,,26.56
QBHA3,03/02/2004 01:30 MST,,46,46,0,110,5.99,0,0.59,43,,26.19
QBHA3,03/02/2004 02:30 MST,,44.01,46,0,150,0,0,0.59,43,,24.36
QBHA3,03/02/2004 03:30 MST,,45,44,4,150,4,0,0.59,43,,24.2
QBHA3,03/02/2004 04:30 MST,,46,45,4,120,4.99,0,0.59,45,,25.65
QBHA3,03/02/2004 05:30 MST,,44.01,48,2.01,150,5.99,0,0.59,45,,25.39
QBHA3,03/02/2004 06:30 MST,,46,54,4,50,10,0,0.59,45,,30.12
QBHA3,03/02/2004 07:30 MST,,46,56,4.99,30,14,14,0.59,44.01,,31.02
QBHA3,03/02/2004 08:30 MST,,46.99,55,0,70,12.01,24,0.59,46,,31.5
QBHA3,03/02/2004 09:30 MST,,51.01,45,0,70,11.01,201,0.59,52,,30.23
QBHA3,03/02/2004 10:30 MST,,52,47,4,240,8.01,366,0.59,57.99,,32.22
QBHA3,03/02/2004 11:30 MST,,55.99,40,2.01,220,10,269,0.59,61,,31.84
QBHA3,03/02/2004 12:30 MST,,55.99,35,10,120,8.99,692,0.59,64.99,,28.54
QBHA3,03/02/2004 13:30 MST,,59,25,11.01,130,18.01,818,0.59,70,,23.06
QBHA3,03/02/2004 14:30 MST,,63,21,10,140,24,695,0.59,70,,22.33
QBHA3,03/02/2004 15:30 MST,,62.01,19,11.01,130,24.99,528,0.59,69.01,,19.15
QBHA3,03/02/2004 16:30 MST,,61,20,8.99,160,22.01,112,0.59,61,,19.51
QBHA3,03/02/2004 17:30 MST,,59,23,4.99,180,15.99,45,0.59,55.99,,21.09
QBHA3,03/02/2004 18:30 MST,,57,27,4.99,160,17,0,0.59,54,,23.17
QBHA3,03/02/2004 19:30 MST,,55,32,1.01,320,14,0,0.59,53.01,,25.49
""
""
QBHA3,03/02/2004 22:30 MST,,46.99,43,0,130,8.99,0,0.59,39,,25.45
QBHA3,03/02/2004 23:30 MST,,46,43,0,90,5.99,0,0.59,42.01,,24.55
""
QBHA3,03/03/2004 01:30 MST,,48.99,39,2.01,110,8.01,0,0.59,46,,24.91
QBHA3,03/03/2004 02:30 MST,,48,41,3,130,5.99,0,0.59,46,,25.22
QBHA3,03/03/2004 03:30 MST,,46.99,46,0,210,7,0,0.59,44.01,,27.09
QBHA3,03/03/2004 04:30 MST,,44.01,49,0,170,4.99,0,0.59,42.01,,25.89
QBHA3,03/03/2004 05:30 MST,,45,50,0,280,4.99,0,0.59,43,,27.3
QBHA3,03/03/2004 06:30 MST,,45,45,0,130,3,0,0.59,42.01,,24.74
QBHA3,03/03/2004 07:30 MST,,46,46,2.01,210,4.99,23,0.59,46,,26.19
QBHA3,03/03/2004 08:30 MST,,52,43,8.99,120,4.99,88,0.59,52,,30.01
QBHA3,03/03/2004 09:30 MST,,55,36,8.01,120,21,182,0.59,57.99,,28.35
QBHA3,03/03/2004 10:30 MST,,55,38,5.99,200,18.01,95,0.59,57,,29.68
QBHA3,03/03/2004 11:30 MST,,61,31,8.01,100,12.01,1017,0.59,73,,29.99
QBHA3,03/03/2004 12:30 MST,,60.01,33,12.01,140,18.01,367,0.59,64,,30.66
QBHA3,03/03/2004 13:30 MST,,60.01,36,8.99,140,24,246,0.59,62.01,,32.82
QBHA3,03/03/2004 14:30 MST,,57.99,44,3,170,17,164,0.59,55,,36.05
QBHA3,03/03/2004 15:30 MST,,59,44,4.99,310,17,243,0.59,62.01,,36.97
""
QBHA3,03/03/2004 17:30 MST,,53.01,57,4.99,320,12.01,65,0.59,53.01,,38.05
QBHA3,03/03/2004 18:30 MST,,53.01,58,5.99,330,11.01,0,0.59,52,,38.5
QBHA3,03/03/2004 19:30 MST,,48.99,65,2.01,330,10,0,0.59,48,,37.62
QBHA3,03/03/2004 20:30 MST,,48.99,69,0,110,7,0,0.59,46,,39.16
""
QBHA3,03/03/2004 22:30 MST,,48.99,72,0,200,4.99,0,0.59,46.99,,40.26
QBHA3,03/03/2004 23:30 MST,,48,73,0,180,4,0,0.59,46.99,,39.67
QBHA3,03/04/2004 00:30 MST,,46,78,0,60,4,0,0.59,46.99,,39.45
QBHA3,03/04/2004 01:30 MST,,48,80,4.99,170,0,0,0.59,46,,42.06
QBHA3,03/04/2004 02:30 MST,,45,95,4,300,8.99,0,0.64,46,,43.64
QBHA3,03/04/2004 03:30 MST,,45,97,0,290,5.99,0,0.72,45,,44.19
QBHA3,03/04/2004 04:30 MST,,44.01,96,1.01,180,8.01,0,0.82,42.01,,42.93
QBHA3,03/04/2004 05:30 MST,,43,90,0,340,4.99,0,0.96,41,,40.23
QBHA3,03/04/2004 06:30 MST,,41,95,1.01,170,5.99,0,1.05,42.01,,39.66
QBHA3,03/04/2004 07:30 MST,,42.01,94,0,60,4.99,12,1.09,42.01,,40.39
QBHA3,03/04/2004 08:30 MST,,42.01,94,2.01,340,3,45,1.13,42.01,,40.39
""
QBHA3,03/04/2004 10:30 MST,,41,93,7,330,11.01,97,1.2,43,,39.11
QBHA3,03/04/2004 11:30 MST,,42.01,90,7,330,11.01,102,1.2,41,,39.25
QBHA3,03/04/2004 12:30 MST,,42.01,88,7,330,14,85,1.21,41,,38.67
""
QBHA3,03/04/2004 14:30 MST,,42.01,84,8.99,340,14.99,103,1.22,43,,37.47
""
QBHA3,03/04/2004 16:30 MST,,43,81,7,340,17,21,1.22,43,,37.5
QBHA3,03/04/2004 17:30 MST,,45,79,2.01,290,13,6,1.22,43,,38.81
QBHA3,03/04/2004 18:30 MST,,42.01,94,1.01,350,10,0,1.26,41,,40.39
QBHA3,03/04/2004 19:30 MST,,42.01,94,0,270,8.01,0,1.28,43,,40.39
QBHA3,03/04/2004 20:30 MST,,42.01,92,0,160,5.99,0,1.28,41,,39.83
QBHA3,03/04/2004 21:30 MST,,45,77,0,170,0,0,1.28,41,,38.14
QBHA3,03/04/2004 22:30 MST,,45,78,0,140,0,0,1.28,41,,38.48
QBHA3,03/04/2004 23:30 MST,,45,79,0,90,0,0,1.28,41,,38.81
QBHA3,03/05/2004 00:30 MST,,44.01,73,0,170,0,0,1.28,41,,35.82
QBHA3,03/05/2004 01:30 MST,,44.01,74,0,160,0,0,1.28,41,,36.16
QBHA3,03/05/2004 02:30 MST,,43,98,0,300,0,0,1.31,41,,42.47
QBHA3,03/05/2004 03:30 MST,,39,89,0,350,0,0,1.43,39.99,,35.99
QBHA3,03/05/2004 04:30 MST,,39,89,0,360,0,0,1.53,37,,35.99
QBHA3,03/05/2004 05:30 MST,,37.99,92,0,330,0,0,1.62,37,,35.84
QBHA3,03/05/2004 06:30 MST,,32,98,0,320,0,0,1.77,33.01,,31.49
